category,subcategory,item,key_size_bits,security_level,status,use_cases,vulnerabilities,recommendations
Encryption,Symmetric,AES-128,128,Good,Secure,General use,None known,Acceptable for most uses
Encryption,Symmetric,AES-192,192,Better,Secure,Higher security,None known,Good for sensitive data
Encryption,Symmetric,AES-256,256,Best,Secure,Top secret,None known,Recommended for high security
Encryption,Symmetric,ChaCha20,256,Excellent,Secure,Mobile devices,None known,Good AES alternative
Encryption,Symmetric,3DES,168,Weak,Deprecated,Legacy only,Sweet32 attack,Migrate to AES
Encryption,Symmetric,Blowfish,32-448,Moderate,Obsolete,Legacy,Known weaknesses,Replace with AES or ChaCha20
Encryption,Asymmetric,RSA-2048,2048,Good,Current minimum,Certificates,None practical,Minimum recommended
Encryption,Asymmetric,RSA-3072,3072,Better,Recommended,Long-term certificates,None practical,Use for new systems
Encryption,Asymmetric,RSA-4096,4096,Best,Secure,High security,None practical,Performance impact
Encryption,Asymmetric,ECC P-256,256,Good,Secure,TLS/Mobile,None known,Good RSA alternative
Encryption,Asymmetric,ECC P-384,384,Better,Secure,Higher security,None known,Better than P-256
Encryption,Asymmetric,Ed25519,256,Excellent,Secure,SSH/Modern crypto,None known,Recommended for new systems
Hash,Cryptographic,MD5,128,Broken,Insecure,Checksums only,Collisions found,Never use for security
Hash,Cryptographic,SHA-1,160,Broken,Deprecated,Legacy only,Collisions found,Phase out immediately
Hash,Cryptographic,SHA-256,256,Secure,Current standard,General use,None known,Recommended
Hash,Cryptographic,SHA-384,384,Secure,Secure,Higher security,None known,Good for sensitive use
Hash,Cryptographic,SHA-512,512,Secure,Secure,Maximum security,None known,Faster on 64-bit
Hash,Cryptographic,SHA3-256,256,Secure,Secure,Future-proofing,None known,Alternative to SHA-2
Hash,Cryptographic,BLAKE2b,256-512,Secure,Secure,Performance critical,None known,Faster than SHA-2
Hash,Cryptographic,BLAKE3,256,Secure,Secure,High performance,None known,Extremely fast
Password,Hashing,PBKDF2,Variable,Acceptable,Minimum viable,Legacy systems,Requires many iterations,100000+ iterations minimum
Password,Hashing,bcrypt,Variable,Good,Recommended,Web applications,72 byte limit,Cost factor 12+
Password,Hashing,scrypt,Variable,Better,Secure,Cryptocurrency,Memory intensive,Good against ASICs
Password,Hashing,Argon2id,Variable,Best,Best practice,New applications,None known,Winner of PHC
TLS,Version,SSL 2.0,Variable,Broken,Prohibited,None,Multiple vulnerabilities,Never use
TLS,Version,SSL 3.0,Variable,Broken,Prohibited,None,POODLE attack,Never use
TLS,Version,TLS 1.0,Variable,Weak,Deprecated,Legacy only,BEAST attack,Disable if possible
TLS,Version,TLS 1.1,Variable,Weak,Deprecated,Legacy only,Various weaknesses,Disable if possible
TLS,Version,TLS 1.2,Variable,Secure,Current minimum,Wide compatibility,None with good config,Minimum recommended
TLS,Version,TLS 1.3,Variable,Most secure,Recommended,Modern systems,None known,Use when possible
TLS,Cipher Suite,RC4,128,Broken,Prohibited,None,Biases in keystream,Never use
TLS,Cipher Suite,3DES,168,Weak,Deprecated,Legacy,Sweet32,Avoid
TLS,Cipher Suite,AES-CBC,128-256,Vulnerable,Problematic,Legacy,Padding oracle,Prefer AEAD modes
TLS,Cipher Suite,AES-GCM,128-256,Secure,Recommended,Standard use,None known,Recommended
TLS,Cipher Suite,ChaCha20-Poly1305,256,Secure,Recommended,Mobile/Modern,None known,Good for devices without AES-NI
Certificates,Key Size,RSA-1024,1024,Broken,Prohibited,None,Factorizable,Never use
Certificates,Key Size,RSA-2048,2048,Acceptable,Current minimum,Standard certificates,None practical,Minimum size
Certificates,Key Size,RSA-3072,3072,Good,Recommended,Long-term,None practical,Better than 2048
Certificates,Key Size,ECC-224,224,Weak,Not recommended,Legacy,Potentially weak,Upgrade to P-256
Certificates,Key Size,ECC-256,256,Good,Recommended,Standard use,None known,Good balance
Certificates,Key Size,ECC-384,384,Better,Secure,High security,None known,For sensitive use
Certificates,Validity,>397 days,N/A,Not allowed,Invalid,None,Browser rejection,Maximum 397 days
Certificates,Validity,90 days,N/A,Good,Recommended,Automation friendly,None,Let's Encrypt default
Certificates,Hash,SHA-1,160,Deprecated,Prohibited,None,Collision attacks,Not accepted after 2016
Certificates,Hash,SHA-256,256,Secure,Required minimum,All certificates,None known,Current standard
VPN,Protocol,PPTP,Variable,Broken,Insecure,None,Multiple vulnerabilities,Never use
VPN,Protocol,L2TP/IPSec,Variable,Acceptable,Legacy,Compatibility,Complex configuration,Better options available
VPN,Protocol,OpenVPN,Variable,Secure,Recommended,Wide support,None with good config,Well-tested
VPN,Protocol,WireGuard,Variable,Secure,Modern,Performance,None known,Fastest and simplest
VPN,Protocol,IKEv2/IPSec,Variable,Secure,Recommended,Mobile devices,None with good config,Good for mobile
Authentication,Method,Password only,Variable,Weak,Not recommended,Legacy,Phishing/brute force,Add second factor
Authentication,Method,SMS 2FA,Variable,Weak,Problematic,Legacy,SIM swapping,Use app-based instead
Authentication,Method,TOTP,Variable,Good,Recommended,Standard 2FA,Phishing still possible,Google Authenticator
Authentication,Method,WebAuthn/FIDO2,Variable,Best,Best practice,Modern auth,None known,Phishing resistant
Authentication,Method,Biometric,Variable,Good,Convenient,Mobile devices,Spoofing possible,Use with other factors
Web Security,Header,X-Frame-Options,N/A,Good,Legacy,Clickjacking prevention,Limited flexibility,Use CSP frame-ancestors
Web Security,Header,Content-Security-Policy,N/A,Best,Recommended,XSS prevention,Complex configuration,Essential for security
Web Security,Header,Strict-Transport-Security,N/A,Essential,Required,Force HTTPS,None,Enable with preload
Web Security,Header,X-Content-Type-Options,N/A,Good,Recommended,MIME sniffing prevention,None,Always use nosniff
Web Security,Cookie,Secure flag,N/A,Essential,Required,HTTPS only,None,Always set for sensitive
Web Security,Cookie,HttpOnly flag,N/A,Essential,Required,No JS access,None,Prevents XSS theft
Web Security,Cookie,SameSite flag,N/A,Good,Recommended,CSRF prevention,Compatibility issues,Set to Strict or Lax